2.16.840.1.113883.2.4.3.31.4.1.1	\N	TraZAG	Portavita
2.16.840.1.113883.2.4.3.31.4.1.2	\N	Glucose curve	Portavita
2.16.840.1.113883.2.4.3.31.4.1.3	\N	Medication usage (elderly care)	Portavita
2.16.840.1.113883.2.4.3.31.4.1.4	\N	GFI	Portavita
2.16.840.1.113883.2.4.3.31.4.1.5	\N	EasyCare	Portavita
2.16.840.1.113883.2.4.3.31.4.1.6	\N	HDL	Portavita
2.16.840.1.113883.2.4.3.31.4.1.7	\N	Barthel index	Portavita
2.16.840.1.113883.2.4.3.31.4.1.8	\N	Body weight	Portavita
2.16.840.1.113883.2.4.3.31.4.1.9	\N	GARS	Portavita
2.16.840.1.113883.2.4.3.31.4.1.10	\N	Extreme glucose level	Portavita
2.16.840.1.113883.2.4.3.31.4.1.11	\N	Blood glucose level before breakfast	Portavita
2.16.840.1.113883.2.4.3.31.4.1.12	\N	Blood glucose level after breakfast	Portavita
2.16.840.1.113883.2.4.3.31.4.1.13	\N	Blood glucose level before lunch	Portavita
2.16.840.1.113883.2.4.3.31.4.1.14	\N	Blood glucose level after lunch	Portavita
2.16.840.1.113883.2.4.3.31.4.1.15	\N	Blood glucose level before dinner	Portavita
2.16.840.1.113883.2.4.3.31.4.1.16	\N	Blood glucose level after dinner	Portavita
2.16.840.1.113883.2.4.3.31.4.1.17	\N	Blood glucose level before sleep	Portavita
2.16.840.1.113883.2.4.3.31.4.1.18	\N	Blood glucose level nightly	Portavita
2.16.840.1.113883.2.4.3.31.4.1.19	\N	Glucose curve remarks	Portavita
2.16.840.1.113883.2.4.3.31.4.1.20	\N	Care provider advice concerning glucose curve	Portavita
2.16.840.1.113883.2.4.3.31.4.1.21	\N	Conditions of extreme glucose level	Portavita
2.16.840.1.113883.2.4.3.31.4.1.22	\N	Resolver of extreme glucose level	Portavita
2.16.840.1.113883.2.4.3.31.4.1.23	\N	Solution of extreme glucose level	Portavita
2.16.840.1.113883.2.4.3.31.4.1.24	\N	Blood pressure	Portavita
2.16.840.1.113883.2.4.3.31.4.1.25	\N	Systolic blood pressure	Portavita
2.16.840.1.113883.2.4.3.31.4.1.26	\N	Diastolic blood pressure	Portavita
2.16.840.1.113883.2.4.3.31.4.1.27	\N	Heart rate	Portavita
2.16.840.1.113883.2.4.3.31.4.1.28	\N	Irregular heart beat	Portavita
2.16.840.1.113883.2.4.3.31.4.1.29	\N	Get-up and go-test	Portavita
